file_id,id,time,jd,mjd,ra_hours,dec_degs,x,y,telescope,filter,exp_length,mag,mag_error,flux,flux_error,pm_sky,pm_epoch,pm_pos_angle_sky
6034,SRC3029,33:52.0,2459516.565,59516.06519,3.20368394,-55.26175856,538.638035,846.6923381,Prompt5,B,80,18.18253154,0.615055193,426.6555215,325.1395039,0,50:53.0,0
6034,SRC3030,33:52.0,2459516.565,59516.06519,3.204099141,-55.26163456,552.1082736,858.555609,Prompt5,B,80,16.89129871,0.227472144,1401.427075,326.6350889,0,50:53.0,0
6034,SRC3031,33:52.0,2459516.565,59516.06519,3.210904908,-55.260428,909.0666548,861.8455886,Prompt5,B,80,16.6693816,0.18903002,1719.243322,326.9626797,0,50:53.0,0
6034,SRC3032,33:52.0,2459516.565,59516.06519,3.210905046,-55.26043408,909.0666548,861.8455886,Prompt5,B,80,16.6693816,0.18903002,1719.243322,326.9626797,0,50:53.0,0
6034,SRC3033,33:52.0,2459516.565,59516.06519,3.205657138,-55.26243015,634.4779936,864.7636785,Prompt5,B,80,19.43289836,1.331115895,134.8747473,324.7220589,0,50:53.0,0
6034,SRC3034,33:52.0,2459516.565,59516.06519,3.196048567,-55.26499133,130.5674631,866.1618059,Prompt5,B,80,20.04636131,1.796947893,76.65587795,324.5105849,0,50:53.0,0
6034,SRC3035,33:52.0,2459516.565,59516.06519,3.206041164,-55.26239479,655.6223067,865.1006749,Prompt5,B,80,19.73104093,1.549680917,102.4881407,324.6279975,0,50:53.0,0
6034,SRC3036,33:52.0,2459516.565,59516.06519,3.204704631,-55.26392314,583.8338513,873.2328052,Prompt5,B,80,18.38983683,0.709224131,352.4968607,324.9026926,0,50:53.0,0
6034,SRC3037,33:52.0,2459516.565,59516.06519,3.204399244,-55.26407356,567.1566471,873.2260305,Prompt5,B,80,17.94096186,0.517158218,532.9730437,325.1874771,0,50:53.0,0
6034,SRC3038,33:52.0,2459516.565,59516.06519,3.212189079,-55.26186599,976.0524998,872.4708159,Prompt5,B,80,16.88407199,0.22598714,1410.786164,326.4387447,0,50:53.0,0
6034,SRC3039,33:52.0,2459516.565,59516.06519,3.205941593,-55.26417026,648.4267477,876.60281,Prompt5,B,80,16.93908041,0.236544282,1341.089684,326.4475298,0,50:53.0,0
6034,SRC3040,33:52.0,2459516.565,59516.06519,3.211895398,-55.2634254,960.7137775,881.4316868,Prompt5,B,80,18.60761009,0.818869487,288.4336666,324.7544721,0,50:53.0,0
6034,SRC3041,33:52.0,2459516.565,59516.06519,3.202958123,-55.26590268,492.3860052,883.4006834,Prompt5,B,80,17.06637902,0.262566909,1192.719659,326.3061089,0,50:53.0,0
6034,SRC3042,33:52.0,2459516.565,59516.06519,3.19624232,-55.2681241,139.1653251,886.5500449,Prompt5,B,80,17.07451438,0.264202545,1183.816081,326.1432603,0,50:53.0,0
6034,SRC3043,33:52.0,2459516.565,59516.06519,3.207243302,-55.26675775,717.1934513,894.1859767,Prompt5,B,80,19.09645855,1.10447162,183.8681764,324.6368107,0,50:53.0,0
6034,SRC3044,33:52.0,2459516.565,59516.06519,3.207052137,-55.26965074,703.4424876,909.1282884,Prompt5,B,80,18.96327462,1.021429126,207.8644101,324.6750427,0,50:53.0,0
6034,SRC3045,33:52.0,2459516.565,59516.06519,3.209106019,-55.26912994,812.697778,914.2307311,Prompt5,B,80,19.61143738,1.459709264,114.4234497,324.5100651,0,50:53.0,0
6034,SRC3046,33:52.0,2459516.565,59516.06519,3.207755757,-55.26943726,742.2539852,911.9919566,Prompt5,B,80,16.25255625,0.132714684,2523.872929,328.1522752,0,50:53.0,0
6034,SRC3047,33:52.0,2459516.565,59516.06519,3.205912915,-55.27114686,645.1992872,920.5207144,Prompt5,B,80,18.48173556,0.754225128,323.8886748,324.8739377,0,50:53.0,0
6034,SRC3048,33:52.0,2459516.565,59516.06519,3.204395747,-55.27219614,565.8655244,924.7690369,Prompt5,B,80,18.27924166,0.657707604,390.295302,324.9851651,0,50:53.0,0
6034,SRC3049,33:52.0,2459516.565,59516.06519,3.20235926,-55.27262706,459.0968605,923.3634382,Prompt5,B,80,16.1283679,0.119327223,2829.71586,328.7320466,0,50:53.0,0
6034,SRC3050,33:52.0,2459516.565,59516.06519,3.196754289,-55.27567078,162.9320986,935.0395881,Prompt5,B,80,19.26788043,1.216844952,157.0137971,324.5743583,0,50:53.0,0
6034,SRC3051,33:52.0,2459516.565,59516.06519,3.209574105,-55.27284469,837.0812595,935.7702801,Prompt5,B,80,16.5341368,0.168685264,1947.310781,327.3119449,0,50:53.0,0
6034,SRC3052,33:52.0,2459516.565,59516.06519,3.199389412,-55.27594503,302.7405509,939.2857618,Prompt5,B,80,16.08127265,0.114707113,2955.159496,329.2989431,0,50:53.0,0
6034,SRC3053,33:52.0,2459516.565,59516.06519,3.208570311,-55.27505401,782.2377551,947.8289425,Prompt5,B,80,17.87920679,0.494179768,564.1664684,325.1967761,0,50:53.0,0
6034,SRC3054,33:52.0,2459516.565,59516.06519,3.206723234,-55.27576159,687.0968381,949.3073228,Prompt5,B,80,15.35980502,0.061203721,5743.385638,333.0578904,0,50:53.0,0
6034,SRC3055,33:52.0,2459516.565,59516.06519,3.20050404,-55.27952766,361.7837927,961.4406867,Prompt5,B,80,19.51437282,1.388819753,125.1240689,324.5198871,0,50:53.0,0
6034,SRC3056,33:52.0,2459516.565,59516.06519,3.199175823,-55.27988613,291.1566403,963.3140668,Prompt5,B,80,15.87509288,0.095941759,3573.163058,330.1154381,0,50:53.0,0
6034,SRC3057,33:52.0,2459516.565,59516.06519,3.207975084,-55.27829946,752.1634061,967.0775396,Prompt5,B,80,17.18621425,0.289173077,1068.081239,325.953247,0,50:53.0,0
6034,SRC3058,33:52.0,2459516.565,59516.06519,3.207122053,-55.27961998,707.3772902,973.5026973,Prompt5,B,80,17.2807497,0.311973916,979.0167177,325.8906231,0,50:53.0,0
6034,SRC3059,33:52.0,2459516.565,59516.06519,3.203655107,-55.28047975,525.6439344,973.4787788,Prompt5,B,80,15.90060944,0.097987502,3490.167036,329.6381437,0,50:53.0,0
6034,SRC3060,33:52.0,2459516.565,59516.06519,3.212967097,-55.27870731,1013.644414,977.0860635,Prompt5,B,80,16.53726457,0.139771623,1941.709063,266.7675617,0,50:53.0,0
